Team code,Unprotected File List,What is the theme of your experiment?
jimspi,main.zip (2 Kb.): https://www.tfaforms.com/uploads/get/045473bb7e8cc285319724bbabe899ab-main.zip/212937/5a74f82355d10637a99234e07aa2c6a9,Life in Space
Hackers,Hackers.zip (1 Kb.): https://www.tfaforms.com/uploads/get/48ca0e9dd1055185dbeb06fa065006d5-Hackers.zip/212937/8b0e32c36a2daa2ae498a09aac6276f9,Life in Space
esoastropiteam,main.zip (2 Kb.): https://www.tfaforms.com/uploads/get/46d17536111a13ea1252b06e6e761cb7-main.zip/212937/4513490112ceaa00ce2e541bebb854f0,Life in Space
canadians,main.zip (2 Kb.): https://www.tfaforms.com/uploads/get/652c1011ef21f0c1881359e561e7c1b0-main.zip/212937/75537cbc57f0b1cee511573fce863b79,Life on Earth
nanotesla,nanotesla.zip (2 Kb.): https://www.tfaforms.com/uploads/get/77b6feaead254004517b1338f942750f-nanotesla.zip/212937/9f0da9236f8fc83915f2a4188c09947d,Life in Space
speediecodema,main.py.zip (1 Kb.): https://www.tfaforms.com/uploads/get/c0f0fde0601a1a441c92df3ae71ab167-main.py.zip/212937/ac2b832b830b413d654839945edda73b,Life on Earth
teamkannik,Arkiv.zip (2 Kb.): https://www.tfaforms.com/uploads/get/566ce45ae49f7f69d3e38f8947742c32-Arkiv.zip/212937/8c7fb185366b2dc2c128eb8e520bc0d9,Life in Space
moonty6,moonty6.zip (2 Kb.): https://www.tfaforms.com/uploads/get/5b27185e03e45dfd9f390f8bc17bcb8d-moonty6.zip/212937/0f3335eb9484ede43186c0085ec94a94,Life in Space
Astrogen,astrogen.zip (2 Kb.): https://www.tfaforms.com/uploads/get/481b0b4d1a0835353c982574d5a268e9-astrogen.zip/212937/ab0ea027ab6ff5d2fab48539576928c7,Life in Space
marsonauts,main.zip (1 Kb.): https://www.tfaforms.com/uploads/get/2e4e14e81574c458928b717c1cf48475-main.zip/212937/257118931d68fc8ca5c32290419366ce,Life in Space
flsspacelab,04-RaspberryPi.zip (4 Kb.): https://www.tfaforms.com/uploads/get/3b67997bc594ac3c1b88983d59b9f162-04-RaspberryPi.zip/212937/31d76656e2e77367bee24f77ae63a8fc,Life on Earth
cnglguccigmailcom,main.py.zip (2 Kb.): https://www.tfaforms.com/uploads/get/b204c4403c9a2843c360349aec2b7331-main.py.zip/212937/eefb932f09278672dbec2e999bd5e746,Life on Earth
robone,robone.zip (3 Kb.): https://www.tfaforms.com/uploads/get/d8177b63c88358042e11b34196b4385a-robone.zip/212937/648dee9c7776a4f3c42d2a329ea1fa05,Life on Earth
fuzuzu,codice.zip (2 Kb.): https://www.tfaforms.com/uploads/get/9d00cc672a7c77dc2a67fa68f8b5254e-codice.zip/212937/e866b3b82548a144aed7a81a2fb21a5f,Life on Earth
astrotigrid,main.py.zip (2 Kb.): https://www.tfaforms.com/uploads/get/14d1c3da6fea89a5f95870442f40f274-main.py.zip/212937/cba34adf6f879ba58e6d276d9e7b3503,Life on Earth
piinthesky,Pi in the Sky.zip (3 Kb.): https://www.tfaforms.com/uploads/get/ba0a9046a0bdb84db794031d896b506d-PiintheSky.zip/212937/b113f8de09bb821ee0911b06dea953e2,Life on Earth
cusanusastronauts,main.zip (2 Kb.): https://www.tfaforms.com/uploads/get/03cb0e972780ea2b093c0c02b46cc601-main.zip/212937/cb900c1219f1148480af9b408417bc9e,Life in Space
